,r1_vector,epsilon_vec,gamma_vector,delta_vector,prob_disturb_vec,severity_disturb_vec,omega_vec,optimal_spacing,prob_persistence
188,2,0.75,0.301,0.901,0.1,0.1,1,39,99.9384308734898
189,2,0.25,0.401,0.901,0.1,0.1,1,28,99.9857067325814
190,2,0.75,0.401,0.901,0.1,0.1,1,24,99.9662189385764
191,2,0.25,0.501,0.901,0.1,0.1,1,32,99.9849091884633
192,2,0.75,0.501,0.901,0.1,0.1,1,16,99.9782923673547
193,2,0.25,0.601,0.901,0.1,0.1,1,24,99.98949900108
194,2,0.75,0.601,0.901,0.1,0.1,1,10,99.9879611531455
195,2,0.25,0.701,0.901,0.1,0.1,1,11,99.9953220892384
196,2,0.75,0.701,0.901,0.1,0.1,1,12,99.9854893776218
197,2,0.25,0.801,0.901,0.1,0.1,1,18,99.9927669112695
198,2,0.75,0.801,0.901,0.1,0.1,1,11,99.9878249388454
199,2,0.25,0.901,0.901,0.1,0.1,1,25,99.9904541210123
200,2,0.75,0.901,0.901,0.1,0.1,1,13,99.9859852341299
201,2,0.25,0.001,0.001,0.1,0.1,1.2,7,99.9910786007631
202,2,0.75,0.001,0.001,0.1,0.1,1.2,1,99.9969936700455
203,2,0.25,0.101,0.001,0.1,0.1,1.2,7,99.9960130478755
204,2,0.75,0.101,0.001,0.1,0.1,1.2,0,99.9981844066064
205,2,0.25,0.201,0.001,0.1,0.1,1.2,9,99.9966224991948
206,2,0.75,0.201,0.001,0.1,0.1,1.2,0,99.9982294716981
207,2,0.25,0.301,0.001,0.1,0.1,1.2,8,99.9962171451665
208,2,0.75,0.301,0.001,0.1,0.1,1.2,0,99.9979902741625
209,2,0.25,0.401,0.001,0.1,0.1,1.2,4,99.9966491573795
210,2,0.75,0.401,0.001,0.1,0.1,1.2,1,99.9972061080596
211,2,0.25,0.501,0.001,0.1,0.1,1.2,9,99.9971597533271
212,2,0.75,0.501,0.001,0.1,0.1,1.2,0,99.9979490383717
213,2,0.25,0.601,0.001,0.1,0.1,1.2,2,99.9965004059753
214,2,0.75,0.601,0.001,0.1,0.1,1.2,1,99.9985590190722
215,2,0.25,0.701,0.001,0.1,0.1,1.2,6,99.9971795242283
216,2,0.75,0.701,0.001,0.1,0.1,1.2,0,99.9986070127355
217,2,0.25,0.801,0.001,0.1,0.1,1.2,2,99.9976672796659
218,2,0.75,0.801,0.001,0.1,0.1,1.2,0,99.9980773390745
219,2,0.25,0.901,0.001,0.1,0.1,1.2,6,99.9968856621228
220,2,0.75,0.901,0.001,0.1,0.1,1.2,0,99.99793041666
221,2,0.25,0.001,0.101,0.1,0.1,1.2,11,99.986545405236
222,2,0.75,0.001,0.101,0.1,0.1,1.2,5,99.9939771634391
223,2,0.25,0.101,0.101,0.1,0.1,1.2,8,99.9948557362309
224,2,0.75,0.101,0.101,0.1,0.1,1.2,5,99.996923211576
225,2,0.25,0.201,0.101,0.1,0.1,1.2,9,99.9947852853266
226,2,0.75,0.201,0.101,0.1,0.1,1.2,6,99.9974426762106
227,2,0.25,0.301,0.101,0.1,0.1,1.2,8,99.996344726535
228,2,0.75,0.301,0.101,0.1,0.1,1.2,5,99.9974492559316
229,2,0.25,0.401,0.101,0.1,0.1,1.2,9,99.9973586703945
230,2,0.75,0.401,0.101,0.1,0.1,1.2,5,99.9965542954556
231,2,0.25,0.501,0.101,0.1,0.1,1.2,10,99.9963574868873
232,2,0.75,0.501,0.101,0.1,0.1,1.2,5,99.9976765206614
233,2,0.25,0.601,0.101,0.1,0.1,1.2,10,99.9973625609095
234,2,0.75,0.601,0.101,0.1,0.1,1.2,5,99.9966638219257
235,2,0.25,0.701,0.101,0.1,0.1,1.2,10,99.9975638731499
236,2,0.75,0.701,0.101,0.1,0.1,1.2,2,99.9978250341528
237,2,0.25,0.801,0.101,0.1,0.1,1.2,7,99.9982724805497
238,2,0.75,0.801,0.101,0.1,0.1,1.2,2,99.9974570649266
239,2,0.25,0.901,0.101,0.1,0.1,1.2,5,99.9977309989843
240,2,0.75,0.901,0.101,0.1,0.1,1.2,5,99.9978587112358
241,2,0.25,0.001,0.201,0.1,0.1,1.2,18,99.981223565068
242,2,0.75,0.001,0.201,0.1,0.1,1.2,6,99.9918890748343
243,2,0.25,0.101,0.201,0.1,0.1,1.2,9,99.9959686081653
244,2,0.75,0.101,0.201,0.1,0.1,1.2,4,99.9968592203208
245,2,0.25,0.201,0.201,0.1,0.1,1.2,8,99.9965258642347
246,2,0.75,0.201,0.201,0.1,0.1,1.2,9,99.9957831142916
247,2,0.25,0.301,0.201,0.1,0.1,1.2,8,99.9972863991339
248,2,0.75,0.301,0.201,0.1,0.1,1.2,8,99.9971513635042
249,2,0.25,0.401,0.201,0.1,0.1,1.2,8,99.99735941232
250,2,0.75,0.401,0.201,0.1,0.1,1.2,4,99.9965833676118
251,2,0.25,0.501,0.201,0.1,0.1,1.2,9,99.9971909212539
252,2,0.75,0.501,0.201,0.1,0.1,1.2,5,99.9966773717683
253,2,0.25,0.601,0.201,0.1,0.1,1.2,10,99.9974168527349
254,2,0.75,0.601,0.201,0.1,0.1,1.2,5,99.9962755133149
255,2,0.25,0.701,0.201,0.1,0.1,1.2,9,99.9968257798889
256,2,0.75,0.701,0.201,0.1,0.1,1.2,9,99.9969605069739
257,2,0.25,0.801,0.201,0.1,0.1,1.2,9,99.997922758956
258,2,0.75,0.801,0.201,0.1,0.1,1.2,8,99.9974517691403
259,2,0.25,0.901,0.201,0.1,0.1,1.2,9,99.998216832743
