,fishing_values_vec,r_value_vec,omega_value_vec,dispersal_value_vec,disturbance_prob_vec,disturbance_size_vec,disturbance_magnitude_vec,objective_vec,optimal_spacing,mean_objective_value
2.95,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.96,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.97,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.98,1,3,1.2,0.7,0.0025,2,0.9,persistence,0,100
2.99,1,3,1.2,0.7,0.0025,2,0.9,persistence,0.5,100
3,1,3,1.2,0.7,0.005,2,0.9,persistence,2,100
3.1,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.2,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.3,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.4,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.5,1,3,1.2,0.7,0.005,2,0.9,persistence,2.5,100
3.6,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.7,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.8,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.9,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.10,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.11,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.12,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.13,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.14,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.15,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.16,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.17,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.18,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.19,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.20,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.21,1,3,1.2,0.7,0.005,2,0.9,persistence,2,100
3.22,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.23,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.24,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.25,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
3.26,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.27,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.28,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.29,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.30,1,3,1.2,0.7,0.005,2,0.9,persistence,2,100
3.31,1,3,1.2,0.7,0.005,2,0.9,persistence,1.5,100
3.32,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.33,1,3,1.2,0.7,0.005,2,0.9,persistence,0,100
3.34,1,3,1.2,0.7,0.005,2,0.9,persistence,1,100
3.35,1,3,1.2,0.7,0.005,2,0.9,persistence,0.5,100
